destination_city
ABQ
ADD
AER
AGA
AGP
AKL
ALA
AMS
ANF
ASF
ASU
ATH
ATL
AUA
AUH
AYT
BAK
BCN
BEG
BER
BJS
BJV
BKK
BLA
BOG
BON
BOS
BPS
BRC
BRU
BSB
BSZ
BUD
BUS
BWI
CAI
CAN
CBR
CCC
CCS
CEB
CEK
CGB
CHI
CIT
CJC
CJU
CMB
CMN
CNQ
COR
CPC
CPT
CRD
CTG
CUE
CUN
CUR
CUZ
DAD
DEL
DFW
DLM
DOH
DPS
DUB
DXB
ECN
EVN
FLL
FLN
FMA
FOR
FRA
FTE
GEO
GOJ
GPS
GUA
GYE
HAN
HAV
HDS
HEL
HGH
HKG
HKT
HRB
IBZ
IGR
IGU
IKT
IPC
IST
IZM
JKT
JNB
JPA
JUJ
JUL
KEJ
KGD
KHV
KJA
KRR
KUA
KUL
KZN
LAD
LAX
LCA
LED
LIM
LIS
LJU
LON
LPB
MAD
MCT
MCX
MDE
MDQ
MDZ
MEL
MEX
MIA
MIL
MLE
MMK
MNL
MOW
MPN
MRV
MSQ
MUC
MVD
NAS
NCE
NHA
NKC
NMA
NQN
NQZ
NYC
OGZ
OKA
ONT
ORL
OVB
PAR
PBM
PDP
PEE
PET
PKC
PMY
PNT
PRA
PSS
PTY
PUJ
PUQ
RAI
RAK
REC
REL
RGA
RIO
RMI
RMO
ROM
SAO
SCL
SCU
SDE
SDQ
SEL
SGN
SHA
SHJ
SIN
SJC
SJJ
SJO
SJU
SLA
SLC
SOU
SRZ
SSA
SSH
STW
SVU
SVX
SWF
SYD
SZX
TAS
TBS
TBW
TCI
TGD
TIV
TJM
TLL
TOF
TQO
TUC
TYO
TZX
UAQ
UBN
UFA
UIO
USH
USM
UTP
UUD
UUS
VCE
VIE
VOG
VRA
VVO
WAS
WAW
XPL
YIW
YTO
YVR
ZNZ
ZRH
