snapshot_id,snapshot_date,destination_city
2025-09-08T11:36:14.142800Z,2025-09-08,ADD
2025-09-08T11:36:14.142800Z,2025-09-08,AER
2025-09-08T11:36:14.142800Z,2025-09-08,AGA
2025-09-08T11:36:14.142800Z,2025-09-08,AKL
2025-09-08T11:36:14.142800Z,2025-09-08,ALA
2025-09-08T11:36:14.142800Z,2025-09-08,AMS
2025-09-08T11:36:14.142800Z,2025-09-08,ASF
2025-09-08T11:36:14.142800Z,2025-09-08,ASU
2025-09-08T11:36:14.142800Z,2025-09-08,AUA
2025-09-08T11:36:14.142800Z,2025-09-08,AYT
2025-09-08T11:36:14.142800Z,2025-09-08,BAK
2025-09-08T11:36:14.142800Z,2025-09-08,BCN
2025-09-08T11:36:14.142800Z,2025-09-08,BEG
2025-09-08T11:36:14.142800Z,2025-09-08,BER
2025-09-08T11:36:14.142800Z,2025-09-08,BJS
2025-09-08T11:36:14.142800Z,2025-09-08,BKK
2025-09-08T11:36:14.142800Z,2025-09-08,BOG
2025-09-08T11:36:14.142800Z,2025-09-08,BON
2025-09-08T11:36:14.142800Z,2025-09-08,BRC
2025-09-08T11:36:14.142800Z,2025-09-08,BSB
2025-09-08T11:36:14.142800Z,2025-09-08,BSZ
2025-09-08T11:36:14.142800Z,2025-09-08,BUD
2025-09-08T11:36:14.142800Z,2025-09-08,BUS
2025-09-08T11:36:14.142800Z,2025-09-08,CAI
2025-09-08T11:36:14.142800Z,2025-09-08,CCC
2025-09-08T11:36:14.142800Z,2025-09-08,CCS
2025-09-08T11:36:14.142800Z,2025-09-08,CGB
2025-09-08T11:36:14.142800Z,2025-09-08,CHI
2025-09-08T11:36:14.142800Z,2025-09-08,CJC
2025-09-08T11:36:14.142800Z,2025-09-08,CJU
2025-09-08T11:36:14.142800Z,2025-09-08,CMN
2025-09-08T11:36:14.142800Z,2025-09-08,COR
2025-09-08T11:36:14.142800Z,2025-09-08,CPC
2025-09-08T11:36:14.142800Z,2025-09-08,CPT
2025-09-08T11:36:14.142800Z,2025-09-08,CRD
2025-09-08T11:36:14.142800Z,2025-09-08,CTG
2025-09-08T11:36:14.142800Z,2025-09-08,CUN
2025-09-08T11:36:14.142800Z,2025-09-08,CUR
2025-09-08T11:36:14.142800Z,2025-09-08,CUZ
2025-09-08T11:36:14.142800Z,2025-09-08,DAD
2025-09-08T11:36:14.142800Z,2025-09-08,DLM
2025-09-08T11:36:14.142800Z,2025-09-08,DOH
2025-09-08T11:36:14.142800Z,2025-09-08,DPS
2025-09-08T11:36:14.142800Z,2025-09-08,DXB
2025-09-08T11:36:14.142800Z,2025-09-08,EVN
2025-09-08T11:36:14.142800Z,2025-09-08,FLL
2025-09-08T11:36:14.142800Z,2025-09-08,FLN
2025-09-08T11:36:14.142800Z,2025-09-08,FMA
2025-09-08T11:36:14.142800Z,2025-09-08,FOR
2025-09-08T11:36:14.142800Z,2025-09-08,FTE
2025-09-08T11:36:14.142800Z,2025-09-08,GPS
2025-09-08T11:36:14.142800Z,2025-09-08,GUA
2025-09-08T11:36:14.142800Z,2025-09-08,GYE
2025-09-08T11:36:14.142800Z,2025-09-08,HAN
2025-09-08T11:36:14.142800Z,2025-09-08,HAV
2025-09-08T11:36:14.142800Z,2025-09-08,HEL
2025-09-08T11:36:14.142800Z,2025-09-08,HKG
2025-09-08T11:36:14.142800Z,2025-09-08,HKT
2025-09-08T11:36:14.142800Z,2025-09-08,IGR
2025-09-08T11:36:14.142800Z,2025-09-08,IKT
2025-09-08T11:36:14.142800Z,2025-09-08,IPC
2025-09-08T11:36:14.142800Z,2025-09-08,IST
2025-09-08T11:36:14.142800Z,2025-09-08,JNB
2025-09-08T11:36:14.142800Z,2025-09-08,JUJ
2025-09-08T11:36:14.142800Z,2025-09-08,KGD
2025-09-08T11:36:14.142800Z,2025-09-08,KUL
2025-09-08T11:36:14.142800Z,2025-09-08,KZN
2025-09-08T11:36:14.142800Z,2025-09-08,LCA
2025-09-08T11:36:14.142800Z,2025-09-08,LED
2025-09-08T11:36:14.142800Z,2025-09-08,LIM
