snapshot_id,snapshot_local,tod_label,weekday_search,origin_city,origin_airport,destination_city,destination_airport,depart_date,departure_at,price_min_raw,transfers,duration_min,hours_total,is_extreme,dow,month,season,days_to_departure,snapshot_date
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,COR,COR,2026-02-03,2026-02-03T09:00:00-03:00,25,0,90,1.5,False,Tuesday,2,Summer,148,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,COR,COR,2026-02-16,2026-02-16T11:15:00-03:00,60,0,87,1.4,False,Monday,2,Summer,161,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,COR,COR,2026-03-01,2026-03-01T13:55:00-03:00,24,0,90,1.5,False,Sunday,3,Autumn,174,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,COR,COR,2026-08-21,2026-08-21T16:00:00-03:00,182,0,87,1.4,False,Friday,8,Winter,347,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-09-09,2025-09-09T19:15:00-03:00,49,0,145,2.4,False,Tuesday,9,Spring,1,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-09-13,2025-09-13T17:15:00-03:00,85,1,235,3.9,False,Saturday,9,Spring,5,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-09-14,2025-09-14T17:45:00-03:00,67,0,145,2.4,False,Sunday,9,Spring,6,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-09-15,2025-09-15T07:20:00-03:00,54,0,140,2.3,False,Monday,9,Spring,7,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-09-16,2025-09-16T19:00:00-03:00,40,0,140,2.3,False,Tuesday,9,Spring,8,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-09-20,2025-09-20T06:30:00-03:00,57,0,140,2.3,False,Saturday,9,Spring,12,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-09-23,2025-09-23T16:00:00-03:00,34,0,137,2.3,False,Tuesday,9,Spring,15,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-09-24,2025-09-24T17:30:00-03:00,33,0,137,2.3,False,Wednesday,9,Spring,16,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-09-26,2025-09-26T17:10:00-03:00,40,0,140,2.3,False,Friday,9,Spring,18,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-09-28,2025-09-28T18:05:00-03:00,30,0,137,2.3,False,Sunday,9,Spring,20,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-10-01,2025-10-01T19:30:00-03:00,36,0,137,2.3,False,Wednesday,10,Spring,23,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-10-17,2025-10-17T17:35:00-03:00,33,0,140,2.3,False,Friday,10,Spring,39,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-10-20,2025-10-20T16:40:00-03:00,49,0,140,2.3,False,Monday,10,Spring,42,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-11-01,2025-11-01T18:05:00-03:00,29,0,139,2.3,False,Saturday,11,Spring,54,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-11-06,2025-11-06T14:05:00-03:00,46,1,275,4.6,False,Thursday,11,Spring,59,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-11-08,2025-11-08T15:15:00-03:00,43,0,145,2.4,False,Saturday,11,Spring,61,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-11-16,2025-11-16T05:30:00-03:00,35,0,139,2.3,False,Sunday,11,Spring,69,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-11-19,2025-11-19T06:35:00-03:00,102,0,139,2.3,False,Wednesday,11,Spring,72,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-11-21,2025-11-21T20:55:00-03:00,118,0,139,2.3,False,Friday,11,Spring,74,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-12-12,2025-12-12T18:35:00-03:00,28,0,130,2.2,False,Friday,12,Summer,95,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-12-20,2025-12-20T18:41:00-03:00,56,0,139,2.3,False,Saturday,12,Summer,103,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-12-23,2025-12-23T20:00:00-03:00,56,0,139,2.3,False,Tuesday,12,Summer,106,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-12-24,2025-12-24T18:30:00-03:00,53,0,139,2.3,False,Wednesday,12,Summer,107,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2025-12-30,2025-12-30T20:00:00-03:00,62,0,139,2.3,False,Tuesday,12,Summer,113,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2025-12-31,2025-12-31T07:00:00-03:00,50,0,139,2.3,False,Wednesday,12,Summer,114,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2026-01-01,2026-01-01T07:35:00-03:00,37,0,145,2.4,False,Thursday,1,Summer,115,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-02,2026-01-02T11:25:00-03:00,92,1,340,5.7,False,Friday,1,Summer,116,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-03,2026-01-03T11:25:00-03:00,76,1,525,8.8,False,Saturday,1,Summer,117,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,EZE,BRC,BRC,2026-01-04,2026-01-04T20:48:00-03:00,84,0,139,2.3,False,Sunday,1,Summer,118,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-05,2026-01-05T12:15:00-03:00,77,0,255,4.2,False,Monday,1,Summer,119,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-07,2026-01-07T01:05:00-03:00,85,0,130,2.2,False,Wednesday,1,Summer,121,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-08,2026-01-08T17:45:00-03:00,87,0,130,2.2,False,Thursday,1,Summer,122,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-20,2026-01-20T18:00:00-03:00,41,0,135,2.2,False,Tuesday,1,Summer,134,2025-09-08
2025-09-08T11:36:14.142800Z,2025-09-08T08:36:14.142800-03:00,morning,Monday,BUE,AEP,BRC,BRC,2026-01-27,2026-01-27T18:00:00-03:00,36,0,135,2.2,False,Tuesday,1,Summer,141,2025-09-08
