snapshot_id,snapshot_local,tod_label,weekday_search,origin_city,origin_airport,destination_city,destination_airport,depart_date,departure_at,price_min_raw,transfers,duration_min,hours_total,is_extreme,dow,month,season,days_to_departure
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-09-26,2025-09-26T19:00:00-03:00,41,0,140,2.3,False,Friday,9,Spring,1
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-09-27,2025-09-27T06:30:00-03:00,40,0,140,2.3,False,Saturday,9,Spring,2
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-09-28,2025-09-28T07:00:00-03:00,31,0,140,2.3,False,Sunday,9,Spring,3
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-09-29,2025-09-29T15:55:00-03:00,34,0,140,2.3,False,Monday,9,Spring,4
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-09-30,2025-09-30T16:55:00-03:00,26,0,140,2.3,False,Tuesday,9,Spring,5
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-10-01,2025-10-01T01:45:00-03:00,33,0,140,2.3,False,Wednesday,10,Spring,6
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-02,2025-10-02T04:10:00-03:00,29,0,137,2.3,False,Thursday,10,Spring,7
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-10-03,2025-10-03T16:05:00-03:00,61,0,140,2.3,False,Friday,10,Spring,8
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-05,2025-10-05T06:40:00-03:00,37,0,140,2.3,False,Sunday,10,Spring,10
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-06,2025-10-06T05:30:00-03:00,33,0,137,2.3,False,Monday,10,Spring,11
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-07,2025-10-07T18:00:00-03:00,29,0,137,2.3,False,Tuesday,10,Spring,12
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-10-09,2025-10-09T08:55:00-03:00,78,0,140,2.3,False,Thursday,10,Spring,14
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-10,2025-10-10T20:20:00-03:00,32,0,137,2.3,False,Friday,10,Spring,15
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-15,2025-10-15T07:00:00-03:00,28,0,137,2.3,False,Wednesday,10,Spring,20
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-17,2025-10-17T18:55:00-03:00,29,0,137,2.3,False,Friday,10,Spring,22
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-10-18,2025-10-18T19:01:00-03:00,27,0,137,2.3,False,Saturday,10,Spring,23
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-10-24,2025-10-24T19:00:00-03:00,40,0,140,2.3,False,Friday,10,Spring,29
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-11-01,2025-11-01T17:15:00-03:00,48,0,145,2.4,False,Saturday,11,Spring,37
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-11-03,2025-11-03T16:40:00-03:00,45,0,140,2.3,False,Monday,11,Spring,39
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-11-15,2025-11-15T06:40:00-03:00,34,0,145,2.4,False,Saturday,11,Spring,51
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-11-16,2025-11-16T07:00:00-03:00,35,0,145,2.4,False,Sunday,11,Spring,52
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-11-17,2025-11-17T05:35:00-03:00,51,0,145,2.4,False,Monday,11,Spring,53
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-11-18,2025-11-18T05:30:00-03:00,48,0,139,2.3,False,Tuesday,11,Spring,54
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-11-19,2025-11-19T05:30:00-03:00,41,0,139,2.3,False,Wednesday,11,Spring,55
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-12-06,2025-12-06T01:05:00-03:00,33,0,130,2.2,False,Saturday,12,Summer,72
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-12-12,2025-12-12T08:50:00-03:00,27,0,130,2.2,False,Friday,12,Summer,78
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,AEP,BRC,BRC,2025-12-15,2025-12-15T01:25:00-03:00,43,0,130,2.2,False,Monday,12,Summer,81
2025-09-25T11:40:41.789480Z,2025-09-25T08:40:41.789480-03:00,morning,Thursday,BUE,EZE,BRC,BRC,2025-12-16,2025-12-16T18:15:00-03:00,35,0,139,2.3,False,Tuesday,12,Summer,82
